Country,Code,Deaths,type,Population
Ireland,,0,Incidence,4807388
Israel,,0,Incidence,8713300
Italy,,0,Incidence,60536709
Jamaica,,0,Incidence,2920848
Japan,,0,Incidence,126785797
Jordan,,0,Incidence,9785840
Kazakhstan,,0,Incidence,18037776
Kenya,,3520384,Incidence,50221146
Kiribati,,0,Incidence,114153
Kuwait,,0,Incidence,4056102
Kyrgyzstan,,0,Incidence,6198200
Laos,,39122,Incidence,6953031
Latin America and Caribbean,,4275087,Incidence,618653508
Latvia,,0,Incidence,1942248
Lebanon,,0,Incidence,6819373
Lesotho,,0,Incidence,2091532
Liberia,,1886107,Incidence,4702224
Libya,,0,Incidence,6580723
Lithuania,,0,Incidence,2828403
Low SDI,,125686383,Incidence,614965124
Low-middle SDI,,145389450,Incidence,3194517542
Luxembourg,,0,Incidence,596336
Madagascar,,1934794,Incidence,25570511
Malawi,,3821420,Incidence,17670193
Malaysia,,2125,Incidence,31104655
Maldives,,0,Incidence,496398
Mali,,7160192,Incidence,18512429
Malta,,0,Incidence,467999
Marshall Islands,,0,Incidence,58053
Mauritania,,237631,Incidence,4282582
Mauritius,,0,Incidence,1264613
Mexico,,34717,Incidence,124777326
Micronesia (country),,34717,Incidence,124777326
Middle SDI,,201846221,Incidence,5664768985
Moldova,,0,Incidence,2755158
Mongolia,,0,Incidence,3113788
Montenegro,,0,Incidence,622373
Morocco,,0,Incidence,35581257
Mozambique,,9350958,Incidence,28649007
Myanmar,,202888,Incidence,53382521
Namibia,,112321,Incidence,2402623
Nepal,,10693,Incidence,27632682
Netherlands,,0,Incidence,17131296
New Zealand,,0,Incidence,4813600
Nicaragua,,31766,Incidence,6384843
Niger,,7702777,Incidence,21602388
Nigeria,,54029359,Incidence,190873247
North Africa and Middle East,,54029359,Incidence,190873247
North America,,0,Incidence,361731296
North Korea,,0,Incidence,361731296
North Macedonia,,0,Incidence,2081996
Northern Ireland,,0,Incidence,2081996
Northern Mariana Islands,,0,Incidence,56553
Norway,,0,Incidence,5276968
Oceania,,0,Incidence,0
Oman,,0,Incidence,4665926
Pakistan,,987674,Incidence,207906210
Palestine,,0,Incidence,17809
Panama,,828,Incidence,4106764
Papua New Guinea,,1500657,Incidence,8438038
Paraguay,,0,Incidence,6867058
Peru,,184637,Incidence,31444299
Philippines,,32174,Incidence,105172921
Poland,,0,Incidence,37974826
Portugal,,0,Incidence,10300300
Puerto Rico,,0,Incidence,3325286
Qatar,,0,Incidence,2724727
Romania,,0,Incidence,19588715
Russia,,0,Incidence,19588715
Rwanda,,6449821,Incidence,11980960
Saint Lucia,,6449821,Incidence,11980960
Saint Vincent and the Grenadines,,6449821,Incidence,11980960
Samoa,,0,Incidence,195358
Sao Tome and Principe,,2239,Incidence,207086
Saudi Arabia,,2209,Incidence,33101183
Scotland,,2209,Incidence,33101183
Senegal,,807277,Incidence,15419354
Serbia,,0,Incidence,7020858
Seychelles,,0,Incidence,95843
Sierra Leone,,2726766,Incidence,7488427
Singapore,,0,Incidence,5612253
Slovakia,,0,Incidence,5439232
Slovenia,,0,Incidence,2066388
Solomon Islands,,104527,Incidence,636030
Somalia,,541768,Incidence,14589165
South Africa,,225170,Incidence,57009751
South Asia,,13160863,Incidence,1792883164
South Korea,,13160863,Incidence,1792883164
S. Sudan,,2681845,Incidence,11980960
Southeast Asia,,2681845,Incidence,10910774
"Southeast Asia, East Asia, and Oceania",,2681845,Incidence,10910774
Southern Latin America,,2681845,Incidence,10910774
Southern Sub-Saharan Africa,,2681845,Incidence,10910774
Spain,,0,Incidence,46593236
Sri Lanka,,0,Incidence,21444000
Sub-Saharan Africa,,235801067,Incidence,1050162810
Sudan,,1908105,Incidence,40813398
Suriname,,271,Incidence,570501
Sweden,,0,Incidence,10057698
Switzerland,,0,Incidence,8451840
Syria,,0,Incidence,8451840
Taiwan,,0,Incidence,17095669
Tajikistan,,0,Incidence,8880270
Tanzania,,6775567,Incidence,54660345
Thailand,,65952,Incidence,69209817
Timor,,65952,Incidence,69209817
Togo,,2141714,Incidence,7698476
Tonga,,0,Incidence,102002
Trinidad and Tobago,,0,Incidence,1384060
Tropical Latin America,,0,Incidence,1384060
Tunisia,,0,Incidence,11433438
Turkey,,0,Incidence,81116451
Turkmenistan,,0,Incidence,5757667
Uganda,,13863230,Incidence,41166588
Ukraine,,0,Incidence,44831135
United Arab Emirates,,0,Incidence,9487206
United Kingdom,,0,Incidence,66058859
United States of America,,0,Incidence,325122128
United States Virgin Islands,,0,Incidence,325122128
Uruguay,,0,Incidence,3436645
Uzbekistan,,0,Incidence,32388600
Vanuatu,,2266,Incidence,285499
Venezuela,,2266,Incidence,285499
Vietnam,,7437,Incidence,94600643
Wales,,0,Incidence,107281
Western Europe,,0,Incidence,4454805
Western Sub-Saharan Africa,,0,Incidence,4454805
World,,442967994,Incidence,7509410228
Yemen,,442967994,Incidence,7509410228
Zambia,,2697352,Incidence,16853608
Zimbabwe,,1545383,Incidence,14236599
