Country,Deaths,type,population
Cabo Verde,37157,Incidence,537499
Cambodia,105981,Incidence,16009413
Cameroon,85414,Incidence,24566070
Canada,1585732,Incidence,36545295
Caribbean Netherlands,1585732,Incidence,36545295
Cayman Islands,787,Incidence,63382
Central African Rep.,787,Incidence,63382
Chad,5031,Incidence,15016761
Channel Islands,5031,Incidence,168666
Chile,1648550,Incidence,18470435
China,124283,Incidence,1386395000
Colombia,4943622,Incidence,48909844
Comoros,4109,Incidence,813890
Congo,14014,Incidence,813890
Costa Rica,513384,Incidence,4949955
Côte d'Ivoire,16356,Incidence,10827010
Croatia,396470,Incidence,4124531
Cuba,825351,Incidence,11339255
Curaçao,825351,Incidence,11339255
Cyprus,119336,Incidence,1179685
Czechia,1687973,Incidence,10594438
Dem. Rep. Congo,1687973,Incidence,10594438
Denmark,355603,Incidence,5764980
Diamond Princess,355603,Incidence,5764980
Djibouti,12207,Incidence,944100
Dominica,3134,Incidence,71460
Dominican Republic,356042,Incidence,10513111
Ecuador,507020,Incidence,16785356
Egypt,298988,Incidence,16785356
El Salvador,102024,Incidence,6388124
Equatorial Guinea,11063,Incidence,1262008
Eritrea,6674,Incidence,0
Estonia,151881,Incidence,1317384
Eswatini,45395,Incidence,1124808
Ethiopia,333698,Incidence,106399926
Faeroe Islands,333698,Incidence,446186344
Falkland Islands,333698,Incidence,446186344
Fiji,50270,Incidence,877460
Finland,138068,Incidence,5508214
France,6760265,Incidence,66918020
French Guiana,39239,Incidence,66918020
French Polynesia,44612,Incidence,276108
Gabon,28120,Incidence,2064812
Gambia,9888,Incidence,2064812
Georgia,602065,Incidence,3728004
Germany,4171666,Incidence,82657002
Ghana,125565,Incidence,29121464
Gibraltar,5490,Incidence,33723
Greece,638921,Incidence,10754679
Greenland,528,Incidence,56172
Grenada,4356,Incidence,110874
Guadeloupe,52463,Incidence,110874
Guatemala,533744,Incidence,16087418
Guinea,30271,Incidence,12067516
Guinea-Bissau,6080,Incidence,1828146
Guyana,29824,Incidence,775218
Haiti,21453,Incidence,10982367
Honduras,360598,Incidence,9429016
Hong Kong,360598,Incidence,9429016
Hungary,819547,Incidence,9787966
Iceland,11594,Incidence,343400
India,33563421,Incidence,1338676779
Indonesia,4201559,Incidence,264650969
Iran,4201559,Incidence,264650969
Iraq,1984399,Incidence,37552789
Ireland,379366,Incidence,4807388
Isle of Man,7265,Incidence,83610
Israel,1249328,Incidence,8713300
Italy,4645853,Incidence,60536709
Jamaica,80959,Incidence,2920848
Japan,1683965,Incidence,126785797
Jordan,816574,Incidence,9785840
Kazakhstan,944733,Incidence,18037776
Kenya,246643,Incidence,50221146
Kuwait,411316,Incidence,4056102
Kyrgyzstan,178036,Incidence,6198200
Laos,19952,Incidence,6953031
Latvia,152693,Incidence,1942248
Lebanon,619950,Incidence,6819373
Lesotho,14395,Incidence,2091532
Liberia,5915,Incidence,4702224
Libya,334049,Incidence,6580723
Liechtenstein,3545,Incidence,37805
Lithuania,321243,Incidence,2828403
Luxembourg,77552,Incidence,596336
Macao,77552,Incidence,596336
Madagascar,43570,Incidence,25570511
Malawi,61382,Incidence,17670193
Malaysia,2142924,Incidence,31104655
Maldives,84017,Incidence,496398
Mali,15075,Incidence,18512429
Malta,37036,Incidence,467999
Marshall Islands,4,Incidence,58053
Martinique,40685,Incidence,58053
Mauritania,35515,Incidence,4282582
Mauritius,14863,Incidence,1264613
Mayotte,20205,Incidence,1264613
Mexico,3585565,Incidence,124777326
Micronesia,3585565,Incidence,124777326
Moldova,0,Incidence,2755158
Monaco,3299,Incidence,38392
Mongolia,287512,Incidence,3113788
Montenegro,127883,Incidence,622373
Montserrat,33,Incidence,622373
Morocco,923924,Incidence,35581257
Mozambique,150067,Incidence,28649007
MS Zaandam,150067,Incidence,28649007
Myanmar,453407,Incidence,53382521
Namibia,126900,Incidence,2402623
Nepal,788769,Incidence,27632682
Netherlands,1989805,Incidence,17131296
New Caledonia,4727,Incidence,270000
New Zealand,3779,Incidence,4813600
Nicaragua,10757,Incidence,6384843
Niger,5964,Incidence,21602388
Nigeria,202191,Incidence,190873247
North Macedonia,188113,Incidence,2081996
North Korea,0,Incidence,361731296
Norway,184609,Incidence,5276968
Oman,303512,Incidence,4665926
Pakistan,1230238,Incidence,207906210
Palau,5,Incidence,17809
Palestine,5,Incidence,17809
Panama,464781,Incidence,4106764
Papua New Guinea,19182,Incidence,8438038
Paraguay,459695,Incidence,6867058
Peru,2168431,Incidence,31444299
Philippines,2417419,Incidence,105172921
Poland,2900862,Incidence,37974826
Portugal,1064025,Incidence,10300300
Qatar,235907,Incidence,2724727
Réunion,235907,Incidence,2724727
Romania,1172981,Incidence,19588715
Russia,1172981,Incidence,19588715
Rwanda,95503,Incidence,11980960
South Korea,2884134,Incidence,1792883164
S. Sudan,95503,Incidence,11980960
Saint Helena,0,Incidence,11980960
Saint Kitts and Nevis,1718,Incidence,11980960
Saint Lucia,10727,Incidence,11980960
Saint Martin,3740,Incidence,11980960
Saint Pierre Miquelon,31,Incidence,11980960
Samoa,1,Incidence,195358
San Marino,5426,Incidence,33671
