Country,type,Incidence,Population,HDI,Temperature
Norway,Covid,184609,5276968,0.953,1.78
Oceania,Covid,184609,0,0.953,1.78
Oman,Covid,303512,4665926,0.821,26.04
Pakistan,Covid,1230238,207906210,0.562,20.75
Palestine,Covid,5,17809,0.686,28.04
Panama,Covid,464781,4106764,0.789,25.4
Papua New Guinea,Covid,19182,8438038,0.544,25.08
Paraguay,Covid,459695,6867058,0.702,23.73
Peru,Covid,2168431,31444299,0.75,19.7
Philippines,Covid,2417419,105172921,0.699,25.82
Poland,Covid,2900862,37974826,0.865,8.85
Portugal,Covid,1064025,10300300,0.847,15.62
Puerto Rico,Covid,1064025,3325286,0.847,24.93
Qatar,Covid,235907,2724727,0.856,28.02
Romania,Covid,1172981,19588715,0.811,9.86
Russia,Covid,1172981,19588715,0.816,9.86
Rwanda,Covid,95503,11980960,0.524,19.41
Saint Lucia,Covid,10727,11980960,0.747,26.34
Saint Vincent and the Grenadines,Covid,31,11980960,0.723,27.42
Samoa,Covid,1,195358,0.713,27.59
Sao Tome and Principe,Covid,3097,207086,0.589,23.2
Saudi Arabia,Covid,546735,33101183,0.853,25.47
Scotland,Covid,546735,33101183,0.853,25.47
Senegal,Covid,73654,15419354,0.505,28.65
Serbia,Covid,886543,7020858,0.787,11.28
Seychelles,Covid,21180,95843,0.797,27.55
Sierra Leone,Covid,6388,7488427,0.419,26.54
Singapore,Covid,81356,5612253,0.932,27.6
Slovakia,Covid,405931,5439232,0.855,8.34
Slovenia,Covid,286267,2066388,0.896,9.58
Solomon Islands,Covid,20,636030,0.546,25.61
Somalia,Covid,19234,14589165,0.546,27.09
South Africa,Covid,2884134,57009751,0.699,18.28
South Asia,Covid,2884134,1792883164,0.699,18.28
South Korea,Covid,2884134,1792883164,0.903,18.28
S. Sudan,Covid,95503,11980960,0.524,19.41
,,,,,
,,,,,
,,,,,
,,,,,
Spain,Covid,4940824,46593236,0.891,13.93
Sri Lanka,Covid,508672,21444000,0.77,27.28
,,,,,
Sudan,Covid,38077,40813398,0.502,27.74
Suriname,Covid,38137,570501,0.72,26.07
Sweden,Covid,1147879,10057698,0.933,2.62
Switzerland,Covid,826706,8451840,0.944,6.08
Syria,Covid,826706,8451840,0.536,6.08
Taiwan,Covid,31426,17095669,0.536,18.58
Tajikistan,Covid,17484,8880270,0.65,3.75
Tanzania,Covid,17484,54660345,0.538,3.75
Thailand,Covid,1524613,69209817,0.755,26.79
Timor,Covid,1524613,69209817,0.625,26.79
Togo,Covid,24655,7698476,0.503,27.38
Tonga,Covid,24655,102002,0.726,24.58
Trinidad and Tobago,Covid,48826,1384060,0.784,26.37
Tropical Latin America,Covid,48826,1384060,0.784,26.37
Tunisia,Covid,702503,11433438,0.735,20.34
Turkey,Covid,6932453,81116451,0.791,11.66
Turkmenistan,Covid,0,5757667,0.706,16.14
Uganda,Covid,122405,41166588,0.516,23.34
Ukraine,Covid,2370425,44831135,0.751,9.25
United Arab Emirates,Covid,733643,9487206,0.863,27.63
United Kingdom,Covid,733643,66058859,0.922,27.63
United States of America,Covid,42163561,325122128,0.924,7.63
,,,,,
Uruguay,Covid,387922,3436645,0.804,17.93
Uzbekistan,Covid,170520,32388600,0.71,13.34
Vanuatu,Covid,3,285499,0.603,24.03
Venezuela,Covid,3,285499,0.761,24.03
Vietnam,Covid,718963,94600643,0.694,24.62
Wales,Covid,718963,107281,0.694,24.62
Western Europe,Covid,718963,4454805,0.694,24.62
Western Sub-Saharan Africa,Covid,718963,4454805,0.694,24.62
,,,,,
Yemen,Covid,8789,7509410228,0.452,23.63
Zambia,Covid,208502,16853608,0.588,22.27
Zimbabwe,Covid,128186,14236599,0.535,21.83
Afghanistan,Malaria,982618,36296111,0.498,13.57
Albania,Malaria,0,2873457,0.785,12.03
Algeria,Malaria,0,41389174,0.754,23.22
American Samoa,Malaria,0,55617,0.754,23.22
Andean Latin America,Malaria,0,55617,0.754,23.22
Andorra,Malaria,0,76997,0.858,9.18
Angola,Malaria,6825325,29816769,0.581,21.83
Antigua and Barbuda,Malaria,0,95425,0.78,26.61
Argentina,Malaria,0,44044811,0.825,14.55
Armenia,Malaria,0,2944789,0.755,7.15
Australasia,Malaria,0,105361,0.755,7.15
Australia,Malaria,0,24601860,0.939,21.94
Austria,Malaria,0,8797566,0.908,7.25
Azerbaijan,Malaria,0,9854033,0.757,12.93
Bahamas,Malaria,0,9854033,0.807,25.06
Bahrain,Malaria,0,1494077,0.846,28.23
Bangladesh,Malaria,311020,159685421,0.608,25.53
Barbados,Malaria,0,286229,0.8,26.73
Belarus,Malaria,0,9498264,0.808,7.5
Belgium,Malaria,0,11375158,0.916,10.68
Belize,Malaria,10,375775,0.708,25.59
Benin,Malaria,4465137,11175192,0.515,27.93
Bermuda,Malaria,0,63873,0.515,27.93
Bhutan,Malaria,15,745563,0.612,11.98
Bolivia,Malaria,13655,11192853,0.693,11.98
Bosnia and Herzegovina,Malaria,0,3351534,0.768,10.24
Botswana,Malaria,4524,2205076,0.717,22.22
Brazil,Malaria,1087921,207833825,0.759,25.51
Brunei,Malaria,0,29567,0.853,25.51
Bulgaria,Malaria,0,7075947,0.813,11.31
Burkina Faso,Malaria,7676215,19193236,0.423,28.71
Burundi,Malaria,2709703,10827010,0.417,20.68
Cambodia,Malaria,286622,16009413,0.582,27.51
Cameroon,Malaria,6441846,24566070,0.556,24.87
Canada,Malaria,0,36545295,0.926,-6.36
Cape Verde,Malaria,0,36545295,0.654,-6.36
Caribbean,Malaria,0,36545295,0.654,-6.36
Central African Rep.,Malaria,1596323,63382,0.654,-6.36
Central Asia,Malaria,1596323,4596023,0.367,25.31
Central Europe,Malaria,1596323,4596023,0.367,25.31
"Central Europe, Eastern Europe, and Central Asia",Malaria,0,102740078,0.367,25.31
Central Latin America,Malaria,0,102740078,0.367,25.31
Central Sub-Saharan Africa,Malaria,0,102740078,0.367,25.31
Chad,Malaria,2587410,15016761,0.404,27.37
Chile,Malaria,0,18470435,0.843,8.71
China,Malaria,0,1386395000,0.752,7.1
Colombia,Malaria,365703,48909844,0.747,24.79
Comoros,Malaria,3230,813890,0.503,24.52
Congo,Malaria,3230,813890,0.606,24.85
Costa Rica,Malaria,34,4949955,0.794,24.85
Cote d'Ivoire,Malaria,8855281,24437475,0.492,26.76
Croatia,Malaria,0,4124531,0.831,11.66
Cuba,Malaria,0,11339255,0.777,25.83
Cyprus,Malaria,0,1179685,0.869,19.63
Czechia,Malaria,0,10594438,0.888,8.73
Dem. Rep. Congo,Malaria,0,10594438,0.888,8.73
Denmark,Malaria,0,5764980,0.929,8.76
Djibouti,Malaria,19563,944100,0.476,28.38
Dominica,Malaria,0,71460,0.715,22.48
Dominican Republic,Malaria,634,10513111,0.736,24.19
East Asia,Malaria,46855849,3206485623,0.736,24.19
Eastern Europe,Malaria,7251765,2042693823,0.736,24.19
Eastern Sub-Saharan Africa,Malaria,7251765,2042693823,0.736,24.19
Ecuador,Malaria,43754,16785356,0.752,21.65
Egypt,Malaria,43754,16785356,0.696,23
El Salvador,Malaria,0,6388124,0.674,25.24
England,Malaria,0,6388124,0.674,25.24
Equatorial Guinea,Malaria,360585,1262008,0.591,24.54
Eritrea,Malaria,0,0,0.44,26.92
Estonia,Malaria,0,1317384,0.871,6.31
Eswatini,Malaria,2586,1124808,0.588,20.79
Ethiopia,Malaria,3909285,106399926,0.463,23.04
Fiji,Malaria,0,877460,0.741,24.3
Finland,Malaria,0,5508214,0.92,2.52
France,Malaria,0,66918020,0.901,11.69
Gabon,Malaria,524958,2064812,0.702,25.36
Gambia,Malaria,524958,2064812,0.46,27.97
Georgia,Malaria,0,3728004,0.78,7.67
Germany,Malaria,0,82657002,0.936,9.63
Ghana,Malaria,6190041,29121464,0.592,27.68
Greece,Malaria,0,10754679,0.87,14.24
Greenland,Malaria,0,56172,0.87,-17.18
Grenada,Malaria,0,110874,0.772,27.24
Guam,Malaria,0,164281,0.772,27.24
Guatemala,Malaria,5518,16087418,0.65,23.67
Guinea,Malaria,3759396,12067516,0.459,26.14
Guinea-Bissau,Malaria,143200,1828146,0.455,27.43
Guyana,Malaria,25235,775218,0.654,26.12
Haiti,Malaria,39039,10982367,0.498,25.13
High SDI,Malaria,0,1200273639,0.498,25.13
High-income,Malaria,0,1200273639,0.498,25.13
High-income Asia Pacific,Malaria,0,1200273639,0.498,25.13
High-middle SDI,Malaria,0,1200273639,0.498,25.13
Honduras,Malaria,2071,9429016,0.617,23.99
Hungary,Malaria,0,9787966,0.838,11.15
Iceland,Malaria,0,343400,0.935,2.31
India,Malaria,10003762,1338676779,0.64,24.68
Indonesia,Malaria,1792690,264650969,0.694,26.14
Iran,Malaria,1792690,83650969,0.798,26.14
Iraq,Malaria,0,37552789,0.685,22.58
Ireland,Malaria,0,4807388,0.938,9.67
Israel,Malaria,0,8713300,0.903,20.51
